displayed_token,classification,source_or_exemption,status
-0.247,EMPIRICAL_OR_METHOD_VALUE,table_09/table_12 primary change Spearman,PASS
-0.193,EMPIRICAL_OR_METHOD_VALUE,table_12 tile mean change Spearman,PASS
-0.178,EMPIRICAL_OR_METHOD_VALUE,table_12 tests-weighted change Spearman,PASS
-0.169,EMPIRICAL_OR_METHOD_VALUE,table_12 devices-weighted change Spearman,PASS
0.047,EMPIRICAL_OR_METHOD_VALUE,table_08 2024 Pearson log,PASS
0.076,EMPIRICAL_OR_METHOD_VALUE,table_04 rounded 2021 sd_log/CV,PASS
0.111,EMPIRICAL_OR_METHOD_VALUE,table_04 2024 CV,PASS
0.121,EMPIRICAL_OR_METHOD_VALUE,table_04 2024 sd_log,PASS
0.220,EMPIRICAL_OR_METHOD_VALUE,table_08 2023 Pearson log,PASS
0.248,EMPIRICAL_OR_METHOD_VALUE,table_08 2024 Spearman,PASS
0.273,EMPIRICAL_OR_METHOD_VALUE,table_05 2021-2023,PASS
0.296,EMPIRICAL_OR_METHOD_VALUE,table_08 2023 Spearman,PASS
0.448,EMPIRICAL_OR_METHOD_VALUE,table_05 2021-2022,PASS
0.475,EMPIRICAL_OR_METHOD_VALUE,table_05 2021-2024,PASS
0.488,EMPIRICAL_OR_METHOD_VALUE,table_08 2022 Spearman,PASS
0.504,EMPIRICAL_OR_METHOD_VALUE,table_05 2023-2024,PASS
0.535,EMPIRICAL_OR_METHOD_VALUE,table_14 devices Spearman,PASS
0.539,EMPIRICAL_OR_METHOD_VALUE,table_08 2022 Pearson log,PASS
0.542,EMPIRICAL_OR_METHOD_VALUE,table_08 2021 Spearman,PASS
0.545,EMPIRICAL_OR_METHOD_VALUE,table_14 tests Spearman,PASS
0.583,EMPIRICAL_OR_METHOD_VALUE,table_14 devices Pearson,PASS
0.584,EMPIRICAL_OR_METHOD_VALUE,table_08 2021 Pearson log,PASS
0.591,EMPIRICAL_OR_METHOD_VALUE,table_14 tests Pearson,PASS
0.788,EMPIRICAL_OR_METHOD_VALUE,table_05 2022-2023,PASS
1,STRUCTURAL_EXEMPTION,citation/figure/ordered-list metadata,PASS
1.184,EMPIRICAL_OR_METHOD_VALUE,table_04 2021 p90/p10,PASS
1.294,EMPIRICAL_OR_METHOD_VALUE,table_04 2024 p90/p10,PASS
1.474,EMPIRICAL_OR_METHOD_VALUE,table_04 2021 max/min,PASS
1.947,EMPIRICAL_OR_METHOD_VALUE,table_04 2024 max/min,PASS
2,STRUCTURAL_EXEMPTION,citation/figure/ordered-list metadata,PASS
3,STRUCTURAL_EXEMPTION,citation/figure/ordered-list metadata,PASS
3.65,EMPIRICAL_OR_METHOD_VALUE,table_04 2021 sd_level,PASS
4,EMPIRICAL_OR_METHOD_VALUE,four study years/four Ookla variants; Figure 4 reference,PASS
4.22,EMPIRICAL_OR_METHOD_VALUE,table_04 2021 IQR,PASS
5,EMPIRICAL_OR_METHOD_VALUE,table_10 and locked decision: five of six dispersion directions; table_06 up_two_or_more=5,PASS
9.86,EMPIRICAL_OR_METHOD_VALUE,table_04 2024 sd_level,PASS
10,STRUCTURAL_EXEMPTION,figure reference metadata,PASS
11,STRUCTURAL_EXEMPTION,figure reference metadata,PASS
11.93,EMPIRICAL_OR_METHOD_VALUE,table_04 2024 IQR,PASS
12,EMPIRICAL_OR_METHOD_VALUE,table_06 down_one=12; Figure 12 reference,PASS
15,EMPIRICAL_OR_METHOD_VALUE,table_08 rank-difference threshold,PASS
16,EMPIRICAL_OR_METHOD_VALUE,Ookla methodology: zoom-level-16 tile,PASS
18,EMPIRICAL_OR_METHOD_VALUE,table_06 up_one=18,PASS
20,EMPIRICAL_OR_METHOD_VALUE,table_06 unchanged=20; table_08 minimum rank_difference_greater_15=20,PASS
29,EMPIRICAL_OR_METHOD_VALUE,table_08 maximum rank_difference_greater_15=29,PASS
30,EMPIRICAL_OR_METHOD_VALUE,VNNIC official publication minimum-sample rule,PASS
42.34,EMPIRICAL_OR_METHOD_VALUE,table_07 connectivity median change,PASS
48.07,EMPIRICAL_OR_METHOD_VALUE,table_02 2021 median,PASS
48.16,EMPIRICAL_OR_METHOD_VALUE,table_02 2021 mean,PASS
63,EMPIRICAL_OR_METHOD_VALUE,tables 08-12: N=63 and table 09 same_change_direction_count=63,PASS
89.18,EMPIRICAL_OR_METHOD_VALUE,table_02 2024 mean,PASS
91.14,EMPIRICAL_OR_METHOD_VALUE,table_02 2024 median,PASS
252,EMPIRICAL_OR_METHOD_VALUE,Ookla aggregate fact contract: 63 provinces x 4 years,PASS
2016,STRUCTURAL_EXEMPTION,boundary-vintage metadata,PASS
2021,STRUCTURAL_EXEMPTION,study endpoint/year metadata,PASS
2022,STRUCTURAL_EXEMPTION,study year metadata,PASS
2023,STRUCTURAL_EXEMPTION,study year metadata,PASS
2024,STRUCTURAL_EXEMPTION,study endpoint/year metadata,PASS
